date,price
18-11-1981,0.0658
19-11-1981,0.0658
20-11-1981,0.0663
23-11-1981,0.0641
24-11-1981,0.0632
25-11-1981,0.0641
27-11-1981,0.0658
30-11-1981,0.0654
01-12-1981,0.065
02-12-1981,0.0654
03-12-1981,0.065
04-12-1981,0.0663
07-12-1981,0.0667
08-12-1981,0.0663
09-12-1981,0.0658
10-12-1981,0.0658
11-12-1981,0.0658
14-12-1981,0.0641
15-12-1981,0.065
16-12-1981,0.068
17-12-1981,0.0737
18-12-1981,0.0798
21-12-1981,0.0767
22-12-1981,0.0776
23-12-1981,0.0763
24-12-1981,0.0763
28-12-1981,0.0737
29-12-1981,0.0741
30-12-1981,0.0772
31-12-1981,0.0772
04-01-1982,0.0772
05-01-1982,0.0737
06-01-1982,0.0724
07-01-1982,0.0671
08-01-1982,0.0693
11-01-1982,0.0654
12-01-1982,0.0632
13-01-1982,0.0628
14-01-1982,0.0654
15-01-1982,0.0698
18-01-1982,0.0711
19-01-1982,0.0702
20-01-1982,0.0706
21-01-1982,0.0719
22-01-1982,0.0724
25-01-1982,0.0706
26-01-1982,0.0685
27-01-1982,0.068
28-01-1982,0.0702
29-01-1982,0.0711
01-02-1982,0.0711
02-02-1982,0.0706
03-02-1982,0.0706
04-02-1982,0.0693
05-02-1982,0.0689
08-02-1982,0.065
09-02-1982,0.0645
10-02-1982,0.0654
11-02-1982,0.065
12-02-1982,0.0654
16-02-1982,0.0645
17-02-1982,0.065
18-02-1982,0.0658
19-02-1982,0.0658
22-02-1982,0.065
23-02-1982,0.0641
24-02-1982,0.0641
25-02-1982,0.0641
26-02-1982,0.0637
01-03-1982,0.0641
02-03-1982,0.0641
03-03-1982,0.0641
04-03-1982,0.0632
05-03-1982,0.0584
08-03-1982,0.0576
09-03-1982,0.0576
10-03-1982,0.0571
11-03-1982,0.0567
12-03-1982,0.0536
15-03-1982,0.0532
16-03-1982,0.0523
17-03-1982,0.0497
18-03-1982,0.0532
19-03-1982,0.058
22-03-1982,0.0624
23-03-1982,0.0619
24-03-1982,0.0584
25-03-1982,0.058
26-03-1982,0.0571
29-03-1982,0.058
30-03-1982,0.0589
31-03-1982,0.0589
01-04-1982,0.0619
02-04-1982,0.0619
05-04-1982,0.0619
06-04-1982,0.0619
07-04-1982,0.061
08-04-1982,0.061
12-04-1982,0.061
13-04-1982,0.0563
14-04-1982,0.0563
15-04-1982,0.0571
16-04-1982,0.0589
19-04-1982,0.0584
20-04-1982,0.0554
21-04-1982,0.0549
22-04-1982,0.0541
23-04-1982,0.0536
26-04-1982,0.0549
27-04-1982,0.0536
28-04-1982,0.0515
29-04-1982,0.051
30-04-1982,0.0515
03-05-1982,0.0532
04-05-1982,0.0549
05-05-1982,0.0549
06-05-1982,0.0558
07-05-1982,0.0567
10-05-1982,0.0563
11-05-1982,0.0545
12-05-1982,0.0532
13-05-1982,0.0532
14-05-1982,0.0519
17-05-1982,0.0506
18-05-1982,0.0497
19-05-1982,0.0493
20-05-1982,0.0493
21-05-1982,0.0497
24-05-1982,0.0502
25-05-1982,0.0502
26-05-1982,0.0502
27-05-1982,0.0493
28-05-1982,0.0488
01-06-1982,0.0484
02-06-1982,0.0488
03-06-1982,0.048
04-06-1982,0.0462
07-06-1982,0.0458
08-06-1982,0.0458
09-06-1982,0.0449
10-06-1982,0.0449
11-06-1982,0.0467
14-06-1982,0.0467
15-06-1982,0.0467
16-06-1982,0.0467
17-06-1982,0.0462
18-06-1982,0.0458
21-06-1982,0.0449
22-06-1982,0.0467
23-06-1982,0.048
24-06-1982,0.048
25-06-1982,0.0467
28-06-1982,0.0462
29-06-1982,0.0449
30-06-1982,0.0445
01-07-1982,0.0445
02-07-1982,0.0423
06-07-1982,0.0406
07-07-1982,0.0401
08-07-1982,0.0388
09-07-1982,0.0397
12-07-1982,0.0406
13-07-1982,0.0432
14-07-1982,0.0436
15-07-1982,0.0445
16-07-1982,0.0462
19-07-1982,0.0467
20-07-1982,0.0497
21-07-1982,0.0497
22-07-1982,0.0502
23-07-1982,0.0497
26-07-1982,0.0475
27-07-1982,0.0471
28-07-1982,0.0453
29-07-1982,0.0467
30-07-1982,0.0471
02-08-1982,0.0484
03-08-1982,0.0458
04-08-1982,0.0453
05-08-1982,0.0436
06-08-1982,0.0432
09-08-1982,0.0432
10-08-1982,0.0458
11-08-1982,0.0462
12-08-1982,0.0462
13-08-1982,0.0458
16-08-1982,0.0467
17-08-1982,0.0497
18-08-1982,0.0497
19-08-1982,0.0502
20-08-1982,0.0515
23-08-1982,0.0536
24-08-1982,0.0563
25-08-1982,0.0602
26-08-1982,0.0619
27-08-1982,0.0593
30-08-1982,0.0597
31-08-1982,0.0628
01-09-1982,0.0615
02-09-1982,0.0637
03-09-1982,0.0641
07-09-1982,0.061
08-09-1982,0.0628
09-09-1982,0.0619
10-09-1982,0.0632
13-09-1982,0.0637
14-09-1982,0.0658
15-09-1982,0.0658
16-09-1982,0.0641
17-09-1982,0.0624
20-09-1982,0.0624
21-09-1982,0.0637
22-09-1982,0.0654
23-09-1982,0.0654
24-09-1982,0.0637
27-09-1982,0.0632
28-09-1982,0.0641
29-09-1982,0.0641
30-09-1982,0.0641
01-10-1982,0.0645
04-10-1982,0.0645
05-10-1982,0.0654
06-10-1982,0.0658
07-10-1982,0.0711
08-10-1982,0.0763
11-10-1982,0.082
12-10-1982,0.0837
13-10-1982,0.0811
14-10-1982,0.082
15-10-1982,0.082
18-10-1982,0.0802
19-10-1982,0.082
20-10-1982,0.0837
21-10-1982,0.0885
22-10-1982,0.0907
25-10-1982,0.0902
26-10-1982,0.085
27-10-1982,0.0855
28-10-1982,0.0876
29-10-1982,0.0876
01-11-1982,0.0885
02-11-1982,0.0942
03-11-1982,0.0998
04-11-1982,0.1073
05-11-1982,0.1073
08-11-1982,0.1051
09-11-1982,0.1007
10-11-1982,0.1046
11-11-1982,0.1081
12-11-1982,0.1151
15-11-1982,0.1129
16-11-1982,0.1103
